economy,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
AGO,36.8181818181818,36.8181818181818,30.4545454545455,30.4545454545455,30.0,30.0,29.5454545454545,33.6363636363636,33.6363636363636
BDI,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,38.2113821138211,38.2113821138211,38.2113821138211,38.2113821138211
BEN,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,8.43373493975904,7.40740740740741,26.605504587156
BFA,9.44881889763779,9.44881889763779,11.0236220472441,11.0236220472441,13.3858267716535,6.2992125984252,6.2992125984252,16.9014084507042,16.9014084507042
BWA,9.52380952380952,9.52380952380952,9.52380952380952,9.52380952380952,10.7692307692308,10.7692307692308,10.7692307692308,11.1111111111111,11.1111111111111
CAF,,7.19424460431655,8.57142857142857,8.57142857142857,8.57142857142857,8.57142857142857,12.8571428571429,12.8571428571429,12.8571428571429
CIV,9.16334661354582,9.16334661354582,10.5882352941176,10.5882352941176,10.9803921568627,11.3725490196078,14.1732283464567,14.1732283464567,13.7254901960784
CMR,31.1111111111111,31.1111111111111,31.1111111111111,31.1111111111111,31.1111111111111,33.8888888888889,33.8888888888889,33.8888888888889,33.8888888888889
COD,8.94308943089431,8.94308943089431,8.94308943089431,8.94308943089431,10.0,12.8,12.8,12.8,12.8
COG,7.35294117647059,7.35294117647059,11.2582781456954,11.2582781456954,11.2582781456954,11.2582781456954,11.2582781456954,14.5695364238411,14.5695364238411
COM,3.03030303030303,3.03030303030303,6.06060606060606,6.06060606060606,6.06060606060606,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667
CPV,20.8333333333333,23.6111111111111,23.6111111111111,23.6111111111111,23.6111111111111,25.0,38.8888888888889,38.8888888888889,41.6666666666667
DJI,12.7272727272727,12.7272727272727,10.7692307692308,26.1538461538462,26.1538461538462,26.1538461538462,26.1538461538462,26.1538461538462,26.1538461538462
DZA,31.6017316017316,31.6017316017316,25.7575757575758,25.7575757575758,25.7575757575758,25.7575757575758,8.10810810810811,8.10810810810811,7.86240786240786
EGY,,14.9328859060403,14.9328859060403,14.9328859060403,14.9328859060403,27.4111675126904,27.7027027027027,27.580372250423,27.5337837837838
ERI,22.0,22.0,22.0,22.0,22.0,,,,
ETH,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684,42.5882352941177,41.4893617021277,41.3135593220339
GAB,14.1666666666667,14.1666666666667,17.0940170940171,,17.910447761194,14.7887323943662,16.1971830985916,15.3846153846154,24.4897959183673
GHA,10.9090909090909,10.9090909090909,12.7272727272727,12.7272727272727,13.0909090909091,13.0909090909091,14.5454545454545,14.5454545454545,14.5454545454545
GIN,21.9298245614035,21.9298245614035,21.9298245614035,21.9298245614035,22.8070175438596,16.6666666666667,,29.6296296296296,29.6296296296296
GMB,9.43396226415094,9.43396226415094,10.3448275862069,10.3448275862069,10.3448275862069,8.62068965517241,8.62068965517241,8.62068965517241,8.62068965517241
GNB,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,9.80392156862745
GNQ,24.0,24.0,,20.0,21.0,21.0,23.0,31.0,31.0
KEN,19.7142857142857,19.7142857142857,21.7765042979943,21.7765042979943,21.7765042979943,21.7765042979943,21.6138328530259,23.4285714285714,23.2758620689655
LBR,10.958904109589,10.958904109589,9.85915492957746,12.3287671232877,12.3287671232877,12.3287671232877,10.958904109589,10.958904109589,10.958904109589
LBY,15.9574468085106,15.9574468085106,15.9574468085106,15.9574468085106,15.9574468085106,15.9574468085106,15.9574468085106,16.4705882352941,16.4705882352941
LSO,25.0,25.0,22.1311475409836,22.1311475409836,23.3333333333333,23.3333333333333,23.3333333333333,26.4462809917355,26.4462809917355
MAR,16.9620253164557,20.5063291139241,20.5063291139241,20.5063291139241,20.5063291139241,20.5063291139241,22.7848101265823,24.0506329113924,24.3037974683544
MDG,20.5298013245033,20.5298013245033,19.205298013245,19.205298013245,15.8940397350993,17.8807947019868,17.8807947019868,18.5430463576159,18.5430463576159
MLI,8.84353741496599,8.84353741496599,8.84353741496599,8.84353741496599,9.52380952380952,27.891156462585,27.2727272727273,28.5714285714286,28.5714285714286
MOZ,39.6,39.6,39.6,39.6,41.2,42.4,42.4,42.4,43.2
MRT,25.1700680272109,25.1700680272109,25.1700680272109,20.2614379084967,20.2614379084967,20.2614379084967,20.2614379084967,20.2614379084967,23.2954545454545
MUS,11.5942028985507,11.5942028985507,11.5942028985507,11.5942028985507,20.0,20.0,20.0,20.0,20.0
MWI,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,22.9166666666667,22.9166666666667,22.9166666666667,22.9166666666667,20.7253886010363
NAM,41.3461538461538,41.3461538461538,41.3461538461538,46.1538461538462,42.7083333333333,43.2692307692308,44.2307692307692,44.2307692307692,44.2307692307692
NER,13.2743362831858,14.6198830409357,16.9590643274854,16.9590643274854,16.9590643274854,16.9590643274854,25.9036144578313,25.9036144578313,
NGA,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,3.38028169014084,7.22222222222222,3.61111111111111,3.61111111111111,3.91061452513966
RWA,63.75,63.75,61.25,61.25,61.25,61.25,61.25,61.25,61.25
SDN,30.5164319248826,30.5164319248826,30.5164319248826,30.5164319248826,,,,,
SEN,42.6666666666667,42.6666666666667,41.8181818181818,41.8181818181818,41.8181818181818,43.030303030303,43.030303030303,44.2424242424242,46.0606060606061
SLE,12.396694214876,12.396694214876,12.396694214876,12.3287671232877,12.3287671232877,12.3287671232877,12.3287671232877,12.3287671232877,28.1879194630873
SOM,13.8181818181818,,24.3636363636364,24.3636363636364,24.3636363636364,24.3636363636364,24.3636363636364,19.7080291970803,19.7080291970803
